"Rat_Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Ortholog_Symbol","Human_Entrez_ID"
"Hpse2",164.029704737403,-5.83418720135231,0.923442593596975,-6.31786668906737,2.6519862491063e-10,2.47518716583254e-07,"HPSE2",60495
"Lilrb4",165.019905071921,5.51866999732322,0.894933779770351,6.16656798756592,6.97880823426044e-10,6.10645720497788e-07,NA,NA
"Acot1",88.2576183892726,-6.76356322647981,1.10063682317148,-6.14513623757439,7.98949102476105e-10,6.57958084392086e-07,NA,NA
"Tmem190",85.1873148535699,-9.81884336407931,1.62365152388263,-6.04738345614924,1.4721708599011e-09,1.14502177992308e-06,"TMEM190",147744
"Art3",165.431391937772,-9.81353256601612,1.64465764068834,-5.96691513372283,2.41781081157693e-09,1.69246756810385e-06,"ART3",419
"Pitx1",2112.41523146222,2.76189456292859,0.462595480524407,5.97043135786293,2.36627124011418e-09,1.69246756810385e-06,"PITX1",5307
"RGD1306739",78.8446893541068,-9.70703571807206,1.63823026765843,-5.92531825940845,3.11693132155763e-09,2.07795421437176e-06,NA,NA
"Dusp27",188.695615200271,-9.19718574071664,1.56315169517162,-5.88374485286717,4.01085999953545e-09,2.55236545424983e-06,NA,NA
"Ulk3",96.8659891847832,-10.0043050331935,1.71373968514429,-5.83770401065972,5.29250705563263e-09,3.22152603386334e-06,"ULK3",25989
"Lrrc17",231.337566559856,-9.05043571299979,1.57805538312967,-5.73518256060859,9.74073681393964e-09,5.68209647479813e-06,"LRRC17",10234
"Ago4",480.350083923732,10.6692492657347,1.87668164354863,5.68516738169835,1.30684600522432e-08,7.10613675742872e-06,"AGO4",192670
"Scn7a",167.37572006261,-8.37707942135611,1.47393150452477,-5.6834930223281,1.31971111209391e-08,7.10613675742872e-06,"SCN7A",6332
"Arhgef9",88.0233876891353,-9.86587030038383,1.75214527578029,-5.63073760878088,1.79440543814248e-08,9.25197736272175e-06,"ARHGEF9",23229
"Pdk4",120.147251832855,-9.35146847214772,1.66235430739571,-5.62543642504105,1.85039547254435e-08,9.25197736272175e-06,"PDK4",5166
"Zfp449",90.121694065279,-9.90002453672097,1.78106824565779,-5.55847568494754,2.72140860644341e-08,1.31378346517958e-05,"ZNF449",203523
"Ednra",121.018431546519,-9.36173460873778,1.68836901384697,-5.54483915065874,2.94224517695376e-08,1.37304774924509e-05,"EDNRA",1909
